,Country_x,ISO3,SFS index 2000-2003,SFS index 2004-2006,SFS index 2007-2009,SFS index 2010-2012,SFS index 2013-2016,CGIAR,Latitude,Longitude,Region Code,Region_n,Sub-region Code,Sub-region Name,No ,BCFN,food_loss_waste,sustainable_ag,nutrition_challenge,compare_countries
45,Laos,LAO,0.4216,0.4087,0.4255,0.429,0.4199,0.4219,18.50518622,103.7662533,142,Asia,35,South-eastern Asia,,,,,,False
46,Madagascar,MDG,0.3297,0.2921,0.3257,0.3095,0.2576,0.3017,-19.37969027,46.70406219,2,Africa,202,Sub-Saharan Africa,,,,,,False
47,Malawi,MWI,0.372,0.3408,0.3711,0.3754,0.3603,0.3651,-13.21991287,34.31171876,2,Africa,202,Sub-Saharan Africa,,,,,,False
48,Malaysia,MYS,0.6042,0.6,0.6093,0.635,0.6396,0.6353,2.745185714,140.4915783,142,Asia,35,South-eastern Asia,,,,,,False
49,Mali,MLI,0.3227,0.3305,0.3606,0.3752,0.3692,0.3671,17.34640627,-3.525051581,2,Africa,202,Sub-Saharan Africa,,,,,,False
50,Mexico,MEX,0.488,0.4961,0.5091,0.525,0.5229,0.5173,23.93832004,-102.5023164,19,Americas,419,Latin America and the Caribbean,39.0,65.6,66.3,69.4,61.3,True
51,Morocco,MAR,0.3768,0.3739,0.3705,0.3824,0.3866,0.3829,31.8836769,-6.317283613,2,Africa,15,Northern Africa,47.0,63.5,62.1,69.4,58.9,True
52,Mozambique,MOZ,0.215,0.2296,0.3499,0.356,0.3393,0.3472,-17.2617763,35.55202528,2,Africa,202,Sub-Saharan Africa,49.0,63.0,76.9,68.4,43.7,True
53,Myanmar,MMR,0.3883,0.4064,0.4333,0.4356,0.4266,0.4264,21.17952353,96.50232755,142,Asia,35,South-eastern Asia,,,,,,False
54,Nepal,NPL,0.3711,0.355,0.3769,0.3778,0.3657,0.3704,28.25396507,83.9316657,142,Asia,34,Southern Asia,,,,,,False
55,Netherlands,NLD,0.7012,0.6933,0.7123,0.7238,0.7102,0.704,52.26998137,5.675062933,150,Europe,155,Western Europe,2.0,75.6,80.7,77.1,69.0,True
56,New Zealand,NZL,0.7217,0.7201,0.7281,0.7403,0.7313,0.7262,-56.5161571,161.1190313,9,Oceania,53,Australia and New Zealand,,,,,,False
57,Nicaragua,NIC,0.4685,0.4756,0.5006,0.5178,0.5149,0.5149,12.83712778,-85.03655572,19,Americas,419,Latin America and the Caribbean,,,,,,False
58,Niger,NER,,0.2931,0.3095,0.3203,0.315,0.3164,17.42463558,9.397470038,2,Africa,202,Sub-Saharan Africa,,,,,,False
59,Nigeria,NGA,0.489,0.4928,0.5109,0.5227,0.5192,0.5151,9.590667555,8.10605344,2,Africa,202,Sub-Saharan Africa,46.0,63.7,74.1,66.6,50.4,True
60,Norway,NOR,0.6726,0.6709,0.6883,0.7073,0.6994,0.6927,64.41197955,14.06269622,150,Europe,154,Northern Europe,,,,,,False
61,Pakistan,PAK,0.2444,0.2733,0.2933,0.3071,0.3066,0.3086,29.35468377,68.78655545,142,Asia,34,Southern Asia,,,,,,False
62,Panama,PAN,0.5499,0.5434,0.5673,0.5657,0.5671,0.568,8.518057314,-80.07104511,19,Americas,419,Latin America and the Caribbean,,,,,,False
63,Paraguay,PRY,0.5216,0.5164,0.5368,0.5484,0.5499,0.5419,-23.23840821,-58.39126243,19,Americas,419,Latin America and the Caribbean,,,,,,False
64,Peru,PER,0.5057,0.4903,0.53,0.5421,0.5325,0.5332,-9.167216491,-74.37537796,19,Americas,419,Latin America and the Caribbean,,,,,,False
65,Philippines,PHL,0.4661,0.4523,0.4648,0.4757,0.467,0.4688,-0.736653675,127.2358509,142,Asia,35,South-eastern Asia,,,,,,False
66,Poland,POL,0.5389,0.5282,0.5419,0.5588,0.5525,0.5519,52.12847492,19.40086,150,Europe,151,Eastern Europe,15.0,71.3,71.5,78.0,64.3,True
67,South Korea,KOR,0.5557,0.5589,0.5739,0.5881,,0.5798,36.52377792,127.8821461,142,Asia,30,Eastern Asia,22.0,70.5,62.5,73.4,75.6,True
68,Romania,ROU,0.5672,0.5651,0.5674,0.5763,0.5785,0.5666,45.84314501,24.96613666,150,Europe,151,Eastern Europe,45.0,64.4,67.7,68.0,57.4,True
69,Russia,RUS,0.6053,0.6076,0.62,0.6346,0.6266,0.6208,61.97564081,96.67837519,150,Europe,151,Eastern Europe,65.0,56.1,58.0,53.9,56.5,True
70,Rwanda,RWA,0.3688,0.3626,0.4076,0.4147,0.4117,0.4071,-1.991722808,29.92068123,2,Africa,202,Sub-Saharan Africa,12.0,71.6,72.5,71.0,71.2,True
71,Saudi Arabia,SAU,,0.3438,0.3289,0.3863,0.3893,0.3844,24.12628999,44.54637538,142,Asia,145,Western Asia,64.0,56.2,60.2,52.4,56.0,True
